label,N,alpha,beta,gamma,T,seed,chi_hhi_star,lambda2,total_weight,runtime_seconds,summary_path,matrix_path
N64_a1.66_T200_seed101,64,1.66,1.0,1.0,200.0,101,0.0004408570679946042,0.5292771744961211,20.358216188994223,22.361556900083087,results\alpha_scan_transition_N64_T200\run_full_N64_a1.66_b1.0_g1.0_seed101.json,results\alpha_scan_transition_N64_T200\W_full_N64_a1.66_b1.0_g1.0_seed101.csv
N64_a1.66_T200_seed102,64,1.66,1.0,1.0,200.0,102,0.016639327323644204,0.06423123165289865,15.272512242056493,17.871152100036852,results\alpha_scan_transition_N64_T200\run_full_N64_a1.66_b1.0_g1.0_seed102.json,results\alpha_scan_transition_N64_T200\W_full_N64_a1.66_b1.0_g1.0_seed102.csv
N64_a1.66_T200_seed103,64,1.66,1.0,1.0,200.0,103,0.003598886365320294,0.3021872502349483,18.128160919135503,17.99717830005102,results\alpha_scan_transition_N64_T200\run_full_N64_a1.66_b1.0_g1.0_seed103.json,results\alpha_scan_transition_N64_T200\W_full_N64_a1.66_b1.0_g1.0_seed103.csv
N64_a1.68_T200_seed101,64,1.68,1.0,1.0,200.0,101,0.0017049887901733549,0.4096748548619339,19.809272689882153,19.15526430006139,results\alpha_scan_transition_N64_T200\run_full_N64_a1.68_b1.0_g1.0_seed101.json,results\alpha_scan_transition_N64_T200\W_full_N64_a1.68_b1.0_g1.0_seed101.csv
N64_a1.68_T200_seed102,64,1.68,1.0,1.0,200.0,102,0.04208670964769704,0.006983040606665623,14.745933668388975,17.37260060000699,results\alpha_scan_transition_N64_T200\run_full_N64_a1.68_b1.0_g1.0_seed102.json,results\alpha_scan_transition_N64_T200\W_full_N64_a1.68_b1.0_g1.0_seed102.csv
N64_a1.68_T200_seed103,64,1.68,1.0,1.0,200.0,103,0.015013034007313984,0.07806534681363367,16.15784360063945,18.044936100021005,results\alpha_scan_transition_N64_T200\run_full_N64_a1.68_b1.0_g1.0_seed103.json,results\alpha_scan_transition_N64_T200\W_full_N64_a1.68_b1.0_g1.0_seed103.csv
N64_a1.70_T200_seed101,64,1.7,1.0,1.0,200.0,101,0.009249442827594354,0.1639843364943494,17.571351742858987,18.032599200028926,results\alpha_scan_transition_N64_T200\run_full_N64_a1.7_b1.0_g1.0_seed101.json,results\alpha_scan_transition_N64_T200\W_full_N64_a1.7_b1.0_g1.0_seed101.csv
N64_a1.70_T200_seed102,64,1.7,1.0,1.0,200.0,102,0.08730324562854308,0.00032811617775060876,14.612476172350764,18.630854400107637,results\alpha_scan_transition_N64_T200\run_full_N64_a1.7_b1.0_g1.0_seed102.json,results\alpha_scan_transition_N64_T200\W_full_N64_a1.7_b1.0_g1.0_seed102.csv
N64_a1.70_T200_seed103,64,1.7,1.0,1.0,200.0,103,0.03664724881629257,0.011551742836062475,15.761674317462326,18.46419959992636,results\alpha_scan_transition_N64_T200\run_full_N64_a1.7_b1.0_g1.0_seed103.json,results\alpha_scan_transition_N64_T200\W_full_N64_a1.7_b1.0_g1.0_seed103.csv
N64_a1.74_T200_seed101,64,1.74,1.0,1.0,200.0,101,0.06654050064588254,0.002621443872855833,15.63635613763783,18.881473600049503,results\alpha_scan_transition_N64_T200\run_full_N64_a1.74_b1.0_g1.0_seed101.json,results\alpha_scan_transition_N64_T200\W_full_N64_a1.74_b1.0_g1.0_seed101.csv
N64_a1.74_T200_seed102,64,1.74,1.0,1.0,200.0,102,0.34219453099682823,4.078765589504696e-07,17.38522592039191,19.997478800010867,results\alpha_scan_transition_N64_T200\run_full_N64_a1.74_b1.0_g1.0_seed102.json,results\alpha_scan_transition_N64_T200\W_full_N64_a1.74_b1.0_g1.0_seed102.csv
N64_a1.74_T200_seed103,64,1.74,1.0,1.0,200.0,103,0.14892055437944665,4.326561670868133e-05,15.63943894718128,17.28397289989516,results\alpha_scan_transition_N64_T200\run_full_N64_a1.74_b1.0_g1.0_seed103.json,results\alpha_scan_transition_N64_T200\W_full_N64_a1.74_b1.0_g1.0_seed103.csv
N64_a1.76_T200_seed101,64,1.76,1.0,1.0,200.0,101,0.14196847219840672,0.00012840943360553557,16.08507716383537,17.659097399911843,results\alpha_scan_transition_N64_T200\run_full_N64_a1.76_b1.0_g1.0_seed101.json,results\alpha_scan_transition_N64_T200\W_full_N64_a1.76_b1.0_g1.0_seed101.csv
N64_a1.76_T200_seed102,64,1.76,1.0,1.0,200.0,102,0.4801607746414494,1.146458320315454e-08,18.649369055558466,17.502446200000122,results\alpha_scan_transition_N64_T200\run_full_N64_a1.76_b1.0_g1.0_seed102.json,results\alpha_scan_transition_N64_T200\W_full_N64_a1.76_b1.0_g1.0_seed102.csv
