"alpha","seed","chi_hhi_star","lambda2","total_weight"
"1.66","101","0.0004408570679946042","0.5292771744961211","20.358216188994223"
"1.66","102","0.016639327323644204","0.06423123165289865","15.272512242056493"
"1.66","103","0.003598886365320294","0.3021872502349483","18.128160919135503"
"1.68","101","0.0017049887901733549","0.4096748548619339","19.809272689882153"
"1.68","102","0.04208670964769704","0.006983040606665623","14.745933668388975"
"1.68","103","0.015013034007313984","0.07806534681363367","16.15784360063945"
"1.7","101","0.009249442827594354","0.1639843364943494","17.571351742858987"
"1.7","102","0.08730324562854308","0.00032811617775060876","14.612476172350764"
"1.7","103","0.03664724881629257","0.011551742836062475","15.761674317462326"
"1.74","101","0.06654050064588254","0.002621443872855833","15.63635613763783"
"1.74","102","0.34219453099682823","4.078765589504696e-07","17.38522592039191"
"1.74","103","0.14892055437944665","4.326561670868133e-05","15.63943894718128"
"1.76","101","0.14196847219840672","0.00012840943360553557","16.08507716383537"
"1.76","102","0.4801607746414494","1.146458320315454e-08","18.649369055558466"
"1.76","103","0.2703907150060004","1.473098796756055e-06","17.85895124170057"
"1.8","101","0.31522009679754087","1.0412665177199511e-07","21.175956338605527"
"1.8","102","0.599274264188273","6.629813148240931e-12","20.85458416608904"
"1.8","103","0.5255133609114792","1.301641093227947e-09","20.852803312701965"
