t,chi_hhi,lambda2,w_total
0.0,1.8031275844793185e-05,0.7913442944574461,102.3925454545786
0.5,1.8007718779794953e-05,0.7903696064956239,102.04881468095758
1.0,1.7993881886411572e-05,0.7898439369309851,101.81890910758887
1.5,1.7987052002228128e-05,0.7894127268108295,101.66481558728535
2.0,1.798543053683531e-05,0.7889050723095795,101.56136136173413
2.5,1.7987820339133404e-05,0.7885344316490374,101.49179191272458
3.0,1.799342303530343e-05,0.788260416725023,101.44491751994002
3.5,1.8001706156884546e-05,0.7880526211645615,101.41324772630283
4.0,1.8012315252884815e-05,0.7878909686425869,101.39176056977362
4.5,1.8025015410252207e-05,0.7877618287282101,101.37708553370982
5.0,1.8039652189419564e-05,0.7876554609029291,101.36695884461852
5.5,1.805612546341019e-05,0.7875648300487893,101.35985929158178
6.0,1.8074371871506814e-05,0.7874848927842247,101.35476426693748
6.5,1.8094353041309843e-05,0.7874120640087846,101.35098612730084
7.0,1.8116047680924263e-05,0.7873438088774424,101.34806233367377
7.5,1.8139446270963197e-05,0.7872783388336044,101.34568165264054
8.0,1.816454750439648e-05,0.7872143908109868,101.34363456193444
8.5,1.8191355902047988e-05,0.7871510696798126,101.34177991290144
9.0,1.8219880219109483e-05,0.7870877371342568,101.34002251680249
9.5,1.8250132384002045e-05,0.7870239339128993,101.33829807358933
10.0,1.8282126795599623e-05,0.7869593255910182,101.3365630369121
10.5,1.8315879861784732e-05,0.7868936648816598,101.334787798111
11.0,1.8351409700644885e-05,0.7868267654276817,101.33295210198574
11.5,1.838873595141548e-05,0.7867584835624488,101.33104196335037
12.0,1.8427879659638793e-05,0.7866887055860591,101.32904759283466
12.5,1.8468863212698024e-05,0.7866173388572357,101.32696200138581
13.0,1.8511710309750274e-05,0.7865443055266315,101.3247800611781
13.5,1.8556445955373903e-05,0.7864695381016383,101.32249787343252
14.0,1.8603096469805778e-05,0.7863929762843012,101.32011234260443
14.5,1.8651689511041272e-05,0.7863145646971003,101.31762088931825
15.0,1.8702254105678886e-05,0.7862342512304181,101.31502125657062
15.5,1.875482068647695e-05,0.7861519858273198,101.3123113786132
16.0,1.8809421135319646e-05,0.7860677195775346,101.30948929194093
16.5,1.8866088830783995e-05,0.7859814040312532,101.30655307454637
17.0,1.892485869983097e-05,0.7858929906700481,101.30350080413012
17.5,1.8985767273370234e-05,0.7858024304907065,101.30033052900332
18.0,1.904885274560832e-05,0.7857096736705681,101.29704024746628
18.5,1.911415503719303e-05,0.785614669291872,101.29362789282504
19.0,1.918171586224717e-05,0.7855173651088714,101.2900913221331
19.5,1.9251578799443123e-05,0.7854177073458556,101.28642830736887
20.0,1.932378936731063e-05,0.7853156405173183,101.2826365281768
20.5,1.93983951040074e-05,0.7852111072637254,101.27871356558228
21.0,1.9475445651815302e-05,0.7851040481979124,101.27465689627792
21.5,1.9554992846650762e-05,0.7849944017582758,101.2704638872064
22.0,1.9637090812904805e-05,0.7848821040657605,101.2661317902489
22.5,1.9721796063961586e-05,0.7847670887822248,101.26165773688514
23.0,1.9809167608765838e-05,0.7846492869682201,101.25703873272857
23.5,1.9899267064846367e-05,0.7845286269385393,101.25227165186477
24.0,1.999215877823062e-05,0.7844050341141061,101.24735323093725
24.5,2.0087909950724995e-05,0.7842784308689629,101.24228006293532
25.0,2.0186590775069855e-05,0.7841487363712211,101.23704859064478
25.5,2.0288274578522757e-05,0.7840158664169133,101.23165509972532
26.0,2.039303797546669e-05,0.7838797332557469,101.22609571138105
26.5,2.0500961029692183e-05,0.7837402454077698,101.22036637458942
27.0,2.0612127427053906e-05,0.7835973074699664,101.2144628578545
27.5,2.0726624659262634e-05,0.7834508199117909,101.208380740448
28.0,2.084454421964139e-05,0.7833006788586091,101.20211540309978
28.5,2.096598181174015e-05,0.7831467758619819,101.19566201809691
29.0,2.109103757179014e-05,0.7829889976556657,101.18901553874738
29.5,2.1219816306056314e-05,0.7828272258961286,101.18217068816092
30.0,2.1352427744250937e-05,0.7826613368863202,101.17512194729528
30.5,2.1488986810268043e-05,0.7824912012813077,101.1678635422127
