protocol,alpha,N,amplitude_value,amplitude_label,run_count,seed_min,seed_max,seed_list
absolute,1.74,64,0.0001,etaabs_1em04,5,101,105,"101,102,103,104,105"
absolute,1.74,64,0.0003,etaabs_3em04,5,101,105,"101,102,103,104,105"
absolute,1.74,64,0.001,etaabs_1em03,5,101,105,"101,102,103,104,105"
absolute,1.74,64,0.003,etaabs_3em03,5,101,105,"101,102,103,104,105"
absolute,1.74,128,0.0001,etaabs_1em04,5,101,105,"101,102,103,104,105"
absolute,1.74,128,0.0003,etaabs_3em04,5,101,105,"101,102,103,104,105"
absolute,1.74,128,0.001,etaabs_1em03,5,101,105,"101,102,103,104,105"
absolute,1.74,128,0.003,etaabs_3em03,5,101,105,"101,102,103,104,105"
absolute,1.74,256,0.0001,etaabs_1em04,5,101,105,"101,102,103,104,105"
absolute,1.74,256,0.0003,etaabs_3em04,5,101,105,"101,102,103,104,105"
absolute,1.74,256,0.001,etaabs_1em03,5,101,105,"101,102,103,104,105"
absolute,1.74,256,0.003,etaabs_3em03,5,101,105,"101,102,103,104,105"
absolute,1.8,64,0.0001,etaabs_1em04,5,101,105,"101,102,103,104,105"
absolute,1.8,64,0.0003,etaabs_3em04,5,101,105,"101,102,103,104,105"
absolute,1.8,64,0.001,etaabs_1em03,5,101,105,"101,102,103,104,105"
absolute,1.8,64,0.003,etaabs_3em03,5,101,105,"101,102,103,104,105"
absolute,1.8,128,0.0001,etaabs_1em04,5,101,105,"101,102,103,104,105"
absolute,1.8,128,0.0003,etaabs_3em04,5,101,105,"101,102,103,104,105"
absolute,1.8,128,0.001,etaabs_1em03,5,101,105,"101,102,103,104,105"
absolute,1.8,128,0.003,etaabs_3em03,5,101,105,"101,102,103,104,105"
absolute,1.8,256,0.0001,etaabs_1em04,5,101,105,"101,102,103,104,105"
absolute,1.8,256,0.0003,etaabs_3em04,5,101,105,"101,102,103,104,105"
absolute,1.8,256,0.001,etaabs_1em03,5,101,105,"101,102,103,104,105"
absolute,1.8,256,0.003,etaabs_3em03,5,101,105,"101,102,103,104,105"
relative,1.74,64,0.05,etarel_c0p05,5,101,105,"101,102,103,104,105"
relative,1.74,64,0.1,etarel_c0p10,5,101,105,"101,102,103,104,105"
relative,1.74,64,0.2,etarel_c0p20,5,101,105,"101,102,103,104,105"
relative,1.74,64,0.5,etarel_c0p50,5,101,105,"101,102,103,104,105"
relative,1.74,64,1.0,etarel_c1p00,5,101,105,"101,102,103,104,105"
relative,1.74,128,0.05,etarel_c0p05,5,101,105,"101,102,103,104,105"
relative,1.74,128,0.1,etarel_c0p10,5,101,105,"101,102,103,104,105"
relative,1.74,128,0.2,etarel_c0p20,5,101,105,"101,102,103,104,105"
relative,1.74,128,0.5,etarel_c0p50,5,101,105,"101,102,103,104,105"
relative,1.74,128,1.0,etarel_c1p00,5,101,105,"101,102,103,104,105"
relative,1.74,256,0.05,etarel_c0p05,5,101,105,"101,102,103,104,105"
relative,1.74,256,0.1,etarel_c0p10,5,101,105,"101,102,103,104,105"
relative,1.74,256,0.2,etarel_c0p20,5,101,105,"101,102,103,104,105"
relative,1.74,256,0.5,etarel_c0p50,5,101,105,"101,102,103,104,105"
relative,1.74,256,1.0,etarel_c1p00,5,101,105,"101,102,103,104,105"
relative,1.8,64,0.05,etarel_c0p05,5,101,105,"101,102,103,104,105"
relative,1.8,64,0.1,etarel_c0p10,5,101,105,"101,102,103,104,105"
relative,1.8,64,0.2,etarel_c0p20,5,101,105,"101,102,103,104,105"
relative,1.8,64,0.5,etarel_c0p50,5,101,105,"101,102,103,104,105"
relative,1.8,64,1.0,etarel_c1p00,5,101,105,"101,102,103,104,105"
relative,1.8,128,0.05,etarel_c0p05,5,101,105,"101,102,103,104,105"
relative,1.8,128,0.1,etarel_c0p10,5,101,105,"101,102,103,104,105"
relative,1.8,128,0.2,etarel_c0p20,5,101,105,"101,102,103,104,105"
relative,1.8,128,0.5,etarel_c0p50,5,101,105,"101,102,103,104,105"
relative,1.8,128,1.0,etarel_c1p00,5,101,105,"101,102,103,104,105"
relative,1.8,256,0.05,etarel_c0p05,5,101,105,"101,102,103,104,105"
relative,1.8,256,0.1,etarel_c0p10,5,101,105,"101,102,103,104,105"
relative,1.8,256,0.2,etarel_c0p20,5,101,105,"101,102,103,104,105"
relative,1.8,256,0.5,etarel_c0p50,5,101,105,"101,102,103,104,105"
relative,1.8,256,1.0,etarel_c1p00,5,101,105,"101,102,103,104,105"
