protocol,alpha,N,amplitude_value,amplitude_label,run_count,seed_list,chi_final_mean,chi_final_std,chi_final_min,chi_final_max,lambda2_final_mean,lambda2_final_std,lambda2_final_min,lambda2_final_max
absolute,1.74,64,0.0001,etaabs_1em04,5,"101,102,103,104,105",0.14581653225762684,0.05430775084252888,0.07913306451587157,0.22202620967677567,0.0,0.0,0.0,0.0
absolute,1.74,64,0.0003,etaabs_3em04,5,"101,102,103,104,105",0.19344758064459486,0.026088599639162453,0.17439516128980764,0.2220262096767757,0.0,0.0,0.0,0.0
absolute,1.74,64,0.001,etaabs_1em03,5,"101,102,103,104,105",0.15534274193502046,0.0543077508425289,0.07913306451587157,0.22202620967677572,0.0,0.0,0.0,0.0
absolute,1.74,64,0.003,etaabs_3em03,5,"101,102,103,104,105",0.18392137096720126,0.03985099420728652,0.12676411290283962,0.22202620967677572,0.0,0.0,0.0,0.0
absolute,1.74,128,0.0001,etaabs_1em04,5,"101,102,103,104,105",0.1952256944438954,0.04898675691714106,0.13380456349168043,0.25192212301517075,0.0,0.0,0.0,0.0
absolute,1.74,128,0.0003,etaabs_3em04,5,"101,102,103,104,105",0.19050099206295576,0.04605070244744765,0.1574280753963785,0.2519221230151707,0.0,0.0,0.0,0.0
absolute,1.74,128,0.001,etaabs_1em03,5,"101,102,103,104,105",0.20703745039624444,0.03382372163376456,0.1574280753963785,0.25192212301517075,0.0,0.0,0.0,0.0
absolute,1.74,128,0.003,etaabs_3em03,5,"101,102,103,104,105",0.1905009920629558,0.026934947728273644,0.15742807539637851,0.22829861111047267,0.0,0.0,0.0,0.0
absolute,1.74,256,0.0001,etaabs_1em04,5,"101,102,103,104,105",0.20547797736163875,0.031568503988362126,0.17253629429086165,0.24312561515681258,0.0,0.0,0.0,0.0
absolute,1.74,256,0.0003,etaabs_3em04,5,"101,102,103,104,105",0.2078309547238371,0.02759110525540743,0.17253629429086165,0.23136072834582078,0.0,0.0,0.0,0.0
absolute,1.74,256,0.001,etaabs_1em03,5,"101,102,103,104,105",0.20665446604273793,0.021371978231529788,0.19018362450734938,0.2431256151568126,0.0,0.0,0.0,0.0
absolute,1.74,256,0.003,etaabs_3em03,5,"101,102,103,104,105",0.20430148868053957,0.00670701741048292,0.1960660679128453,0.21371339812933304,0.0,0.0,0.0,0.0
absolute,1.8,64,0.0001,etaabs_1em04,5,"101,102,103,104,105",0.15537854026055997,0.04257255167702775,0.1267641129028686,0.222026209676824,0.0,0.0,0.0,0.0
absolute,1.8,64,0.0003,etaabs_3em04,5,"101,102,103,104,105",0.19344758064463738,0.054307750842539915,0.1267641129028686,0.2696572580638017,0.0,0.0,0.0,0.0
absolute,1.8,64,0.001,etaabs_1em03,5,"101,102,103,104,105",0.16486895161245077,0.062103289041341755,0.0791330645158909,0.22202620967682402,0.0,0.0,0.0,0.0
absolute,1.8,64,0.003,etaabs_3em03,5,"101,102,103,104,105",0.18392137096724182,0.02130125240657277,0.17439516128984628,0.222026209676824,0.0,0.0,0.0,0.0
absolute,1.8,128,0.0001,etaabs_1em04,5,"101,102,103,104,105",0.19995039682487714,0.03080129112569443,0.15742807539641201,0.22829861111052055,0.0,0.0,0.0,0.0
absolute,1.8,128,0.0003,etaabs_3em04,5,"101,102,103,104,105",0.19995039682487714,0.03503933064950874,0.15742807539641201,0.25192212301522343,0.0,0.0,0.0,0.0
absolute,1.8,128,0.001,etaabs_1em03,5,"101,102,103,104,105",0.19522569444393656,0.031694267091714655,0.15742807539641201,0.22829861111052055,0.0,0.0,0.0,0.0
absolute,1.8,128,0.003,etaabs_3em03,5,"101,102,103,104,105",0.1928633432534663,0.035435267857054274,0.15742807539641201,0.22829861111052058,0.0,0.0,0.0,0.0
absolute,1.8,256,0.0001,etaabs_1em04,5,"101,102,103,104,105",0.19136011318848817,0.02137197823153412,0.1607714074799032,0.21959584153487427,0.0,0.0,0.0,0.0
