protocol,alpha,N,amplitude_value,amplitude_label,effective_eta,run_count,t_onset_0p1_mean,t_onset_0p1_median,t_onset_0p1_reached_count,t_onset_0p1_not_reached_count,t_onset_0p1_not_reached_frac,t_onset_0p4_mean,t_onset_0p4_median,t_onset_0p4_reached_count,t_onset_0p4_not_reached_count,t_onset_0p4_not_reached_frac,t_peak_mean,t_peak_median,chi_peak_mean,chi_peak_median,chi_peak_min,chi_peak_max
absolute,1.74,64,0.0001,etaabs_1em04,0.0001,5,467.5,462.5,5,0,0.0,475.3,469.5,5,0,0.0,497.0,493.5,0.8052847253035278,0.8135565465648562,0.7318609669717627,0.8620774975150844
absolute,1.74,64,0.0003,etaabs_3em04,0.0003,5,160.8,159.5,5,0,0.0,167.4,168.0,5,0,0.0,188.7,188.5,0.7521503538883032,0.7552518348262529,0.7079185216701437,0.8110959174850428
absolute,1.74,64,0.001,etaabs_1em03,0.001,5,52.2,52.0,5,0,0.0,56.7,56.0,5,0,0.0,72.3,71.5,0.8288875114227339,0.8109787121124785,0.7619561547936282,0.904741992035468
absolute,1.74,64,0.003,etaabs_3em03,0.003,5,19.1,19.0,5,0,0.0,22.0,22.0,5,0,0.0,43.3,45.5,0.7791914491662384,0.7678733125462334,0.6994372254896686,0.8570165406948234
absolute,1.74,128,0.0001,etaabs_1em04,0.0001,5,320.7,325.0,5,0,0.0,327.0,331.0,5,0,0.0,350.5,357.0,0.7687063911236788,0.7688544991876445,0.7006718196215204,0.857779882931661
absolute,1.74,128,0.0003,etaabs_3em04,0.0003,5,112.2,113.5,5,0,0.0,116.9,118.0,5,0,0.0,139.3,140.0,0.771827628740412,0.7717014035361554,0.7389273533367788,0.7928652877277587
absolute,1.74,128,0.001,etaabs_1em03,0.001,5,36.9,37.5,5,0,0.0,39.8,40.0,5,0,0.0,56.5,55.5,0.7774198517331469,0.7680355276768044,0.7479510077373663,0.8345931380357079
absolute,1.74,128,0.003,etaabs_3em03,0.003,5,14.4,14.5,5,0,0.0,16.6,16.5,5,0,0.0,34.0,38.0,0.8021550027735644,0.8089340663396349,0.7569636670229596,0.8427326379805178
absolute,1.74,256,0.0001,etaabs_1em04,0.0001,5,227.7,228.5,5,0,0.0,231.8,232.5,5,0,0.0,254.2,255.0,0.7777406144856027,0.7557001666594141,0.7376200366029819,0.8231934235317717
absolute,1.74,256,0.0003,etaabs_3em04,0.0003,5,79.9,80.0,5,0,0.0,82.8,83.0,5,0,0.0,105.3,107.0,0.7775763606000583,0.7717427712576708,0.7437398533876115,0.8185105962818627
absolute,1.74,256,0.001,etaabs_1em03,0.001,5,26.8,27.0,5,0,0.0,29.0,29.0,5,0,0.0,52.3,53.0,0.779895062230572,0.7909270570863599,0.7301071362433049,0.8012411883201488
absolute,1.74,256,0.003,etaabs_3em03,0.003,5,12.4,12.5,5,0,0.0,14.6,14.5,5,0,0.0,35.8,34.0,0.7824029691361618,0.7918660863866968,0.760006130648317,0.8028656053474701
absolute,1.8,64,0.0001,etaabs_1em04,0.0001,5,488.1,482.5,5,0,0.0,495.7,489.5,5,0,0.0,515.5,509.0,0.7997976165781588,0.8127151424570562,0.7525397836408758,0.8571089443740583
absolute,1.8,64,0.0003,etaabs_3em04,0.0003,5,167.5,166.0,5,0,0.0,173.9,174.0,5,0,0.0,194.2,192.5,0.7646312647322842,0.7703906155235545,0.7141680908049575,0.8146418720134239
absolute,1.8,64,0.001,etaabs_1em03,0.001,5,54.0,54.5,5,0,0.0,58.7,58.0,5,0,0.0,73.4,71.5,0.8014954406794566,0.8096981547920818,0.7194998755171415,0.9010080184533231
absolute,1.8,64,0.003,etaabs_3em03,0.003,5,19.8,19.5,5,0,0.0,22.8,23.0,5,0,0.0,39.8,37.0,0.7748156094676826,0.8058360447728077,0.6774492635820323,0.8096578893014543
absolute,1.8,128,0.0001,etaabs_1em04,0.0001,5,334.4,339.0,5,0,0.0,340.5,345.0,5,0,0.0,363.8,367.0,0.7640441673118386,0.761177369018651,0.7115565090835252,0.811119243074681
absolute,1.8,128,0.0003,etaabs_3em04,0.0003,5,116.5,117.5,5,0,0.0,121.3,122.5,5,0,0.0,141.1,141.5,0.7753105990931523,0.7690349538668249,0.740177005744446,0.8135339689326707
absolute,1.8,128,0.001,etaabs_1em03,0.001,5,38.4,39.0,5,0,0.0,41.0,41.5,5,0,0.0,57.1,55.0,0.7830366421197413,0.7903037641188062,0.7432287108500193,0.826198055034397
absolute,1.8,128,0.003,etaabs_3em03,0.003,5,14.8,15.0,5,0,0.0,16.9,17.0,5,0,0.0,33.2,31.0,0.7919704606833238,0.8016616144885527,0.7608466116926055,0.8171516373005532
absolute,1.8,256,0.0001,etaabs_1em04,0.0001,5,237.4,238.0,5,0,0.0,241.3,242.0,5,0,0.0,261.9,260.0,0.7923713562938647,0.8000712591163868,0.7492225667586757,0.8204740283136491
absolute,1.8,256,0.0003,etaabs_3em04,0.0003,5,83.0,83.0,5,0,0.0,85.8,86.0,5,0,0.0,107.3,108.0,0.8023074481838085,0.8117636174058418,0.7716020400179044,0.8233895073305821
absolute,1.8,256,0.001,etaabs_1em03,0.001,5,27.7,28.0,5,0,0.0,30.0,30.0,5,0,0.0,53.3,53.0,0.7829145112596614,0.7994357350014036,0.7186498472834945,0.8090209198213498
absolute,1.8,256,0.003,etaabs_3em03,0.003,5,12.4,12.5,5,0,0.0,14.6,14.5,5,0,0.0,36.3,36.5,0.8022918561137896,0.8131214272904663,0.7607707423947114,0.8190110460788413
relative,1.74,64,0.05,etarel_c0p05,0.0005873015873015873,5,85.1,85.0,5,0,0.0,91.4,90.5,5,0,0.0,111.8,110.0,0.7819386428009436,0.7671557467994365,0.7145978758807013,0.8524199184026375
relative,1.74,64,0.1,etarel_c0p10,0.0011746031746031746,5,45.1,45.0,5,0,0.0,49.4,49.0,5,0,0.0,69.1,66.5,0.8106347133567141,0.8149721469968232,0.7069386758180437,0.8625066947775473
relative,1.74,64,0.2,etarel_c0p20,0.002349206349206349,5,23.9,24.0,5,0,0.0,27.1,27.0,5,0,0.0,48.1,49.5,0.7890636415990896,0.8011723887019959,0.7604927362291478,0.8102250867964138
relative,1.74,64,0.5,etarel_c0p50,0.005873015873015873,5,10.8,10.5,5,0,0.0,13.2,13.5,5,0,0.0,26.2,27.5,0.8153025362680126,0.8229841891898015,0.7637698536324916,0.8573491203310698
relative,1.74,64,1.0,etarel_c1p00,0.011746031746031746,5,6.8,6.5,5,0,0.0,9.1,9.0,5,0,0.0,25.7,24.0,0.7872968384325734,0.7825771770714405,0.7118948011267556,0.8572143962728672
relative,1.74,128,0.05,etarel_c0p05,0.00029133858267716534,5,115.3,116.5,5,0,0.0,120.0,121.0,5,0,0.0,140.6,140.0,0.7848766485728825,0.7921168466120735,0.7100171871317589,0.8609376494033244
relative,1.74,128,0.1,etarel_c0p10,0.0005826771653543307,5,60.6,61.5,5,0,0.0,64.2,65.0,5,0,0.0,78.5,81.0,0.760742176865372,0.7637859267876544,0.720586102400079,0.7875807801374184
relative,1.74,128,0.2,etarel_c0p20,0.0011653543307086614,5,32.1,32.5,5,0,0.0,34.9,35.0,5,0,0.0,58.0,57.0,0.7940468351673905,0.8070462000568824,0.7637418674296083,0.8256617543509845
relative,1.74,128,0.5,etarel_c0p50,0.0029133858267716534,5,14.7,15.0,5,0,0.0,16.9,17.0,5,0,0.0,33.7,34.0,0.7982320734567568,0.8111352190371792,0.7570947380859339,0.8219332573518772
relative,1.74,128,1.0,etarel_c1p00,0.005826771653543307,5,9.3,9.5,5,0,0.0,11.7,11.5,5,0,0.0,36.4,37.0,0.7976326510220633,0.7745663184586186,0.7366085106167313,0.8640281790799771
relative,1.74,256,0.05,etarel_c0p05,0.00014509803921568628,5,159.2,160.0,5,0,0.0,162.7,163.5,5,0,0.0,186.3,189.5,0.7688259849556923,0.7777301157135972,0.744123422563588,0.7860975423510013
relative,1.74,256,0.1,etarel_c0p10,0.00029019607843137256,5,82.5,82.5,5,0,0.0,85.3,85.5,5,0,0.0,106.9,106.0,0.7828511392222411,0.7879229760797855,0.7423341659933363,0.80238656298104
relative,1.74,256,0.2,etarel_c0p20,0.0005803921568627451,5,43.5,43.5,5,0,0.0,45.9,46.0,5,0,0.0,68.9,69.5,0.7754943407663759,0.7753456318194926,0.7298838750861129,0.8338507348002551
relative,1.74,256,0.5,etarel_c0p50,0.0014509803921568627,5,19.7,19.5,5,0,0.0,22.0,22.0,5,0,0.0,44.7,44.5,0.7890371118846508,0.7919809450042601,0.7672893446273881,0.8120078341590715
relative,1.74,256,1.0,etarel_c1p00,0.0029019607843137254,5,12.6,12.5,5,0,0.0,14.9,15.0,5,0,0.0,36.3,36.0,0.8002103383061429,0.8005510637266564,0.770924044366069,0.820587800916776
relative,1.8,64,0.05,etarel_c0p05,0.0006349206349206349,5,82.3,82.0,5,0,0.0,88.2,87.5,5,0,0.0,108.8,106.5,0.7842944374265446,0.7682835093051813,0.7145148430332373,0.8566875031060965
relative,1.8,64,0.1,etarel_c0p10,0.0012698412698412698,5,43.6,43.5,5,0,0.0,47.7,47.5,5,0,0.0,64.4,64.5,0.8035479632521322,0.8150837666628166,0.6777991852030523,0.8575385627564962
relative,1.8,64,0.2,etarel_c0p20,0.0025396825396825397,5,23.1,23.0,5,0,0.0,26.1,26.0,5,0,0.0,46.8,51.0,0.7885577296359496,0.807880397832125,0.7529257967968224,0.8098441970859596
relative,1.8,64,0.5,etarel_c0p50,0.006349206349206349,5,10.3,10.0,5,0,0.0,12.7,13.0,5,0,0.0,24.5,24.5,0.8059155254385298,0.8175160034371669,0.7660360826566524,0.8572264632939889
relative,1.8,64,1.0,etarel_c1p00,0.012698412698412698,5,6.5,6.5,5,0,0.0,8.7,9.0,5,0,0.0,25.1,23.5,0.7841061162172052,0.7680169198108959,0.7170281396266558,0.8571712548509481
relative,1.8,128,0.05,etarel_c0p05,0.0003149606299212599,5,111.4,112.5,5,0,0.0,116.0,117.0,5,0,0.0,137.6,140.0,0.7770255818345044,0.7689484291855642,0.7222449809162563,0.8373443142666206
relative,1.8,128,0.1,etarel_c0p10,0.0006299212598425198,5,58.6,59.5,5,0,0.0,62.0,62.5,5,0,0.0,74.6,74.5,0.7569558468783145,0.7638676010150017,0.7209645711028041,0.789482344028839
relative,1.8,128,0.2,etarel_c0p20,0.0012598425196850395,5,31.1,31.5,5,0,0.0,33.7,34.0,5,0,0.0,55.8,55.0,0.7998465047229799,0.8105193713571908,0.7637267643324532,0.837265016143214
relative,1.8,128,0.5,etarel_c0p50,0.003149606299212599,5,14.2,14.5,5,0,0.0,16.4,16.5,5,0,0.0,32.9,35.0,0.796230657156409,0.8020394395080165,0.7760524188118934,0.8138134495335076
relative,1.8,128,1.0,etarel_c1p00,0.006299212598425198,5,9.2,9.0,5,0,0.0,11.2,11.0,5,0,0.0,33.5,33.0,0.801463087829087,0.7864214811499124,0.7418188897470853,0.8581369959253207
relative,1.8,256,0.05,etarel_c0p05,0.00015686274509803925,5,153.9,154.5,5,0,0.0,157.2,158.0,5,0,0.0,180.7,183.0,0.769181197916014,0.7777546705435503,0.7435285102794177,0.7886543257149277
relative,1.8,256,0.1,etarel_c0p10,0.0003137254901960785,5,79.6,79.5,5,0,0.0,82.4,82.5,5,0,0.0,105.0,104.5,0.7914581563820231,0.7992829017949025,0.7542338460297191,0.8115956429022008
relative,1.8,256,0.2,etarel_c0p20,0.000627450980392157,5,42.1,42.0,5,0,0.0,44.4,44.5,5,0,0.0,65.5,65.0,0.7793551967247622,0.7891453674473652,0.7303301539477468,0.8284624311195812
relative,1.8,256,0.5,etarel_c0p50,0.0015686274509803923,5,18.9,19.0,5,0,0.0,21.1,21.0,5,0,0.0,41.6,42.5,0.7883763230678903,0.7770932956678306,0.7508198155301864,0.8328168125093406
relative,1.8,256,1.0,etarel_c1p00,0.0031372549019607846,5,12.1,12.0,5,0,0.0,14.4,14.5,5,0,0.0,36.6,36.5,0.7982019184455353,0.8019312125374454,0.759256358857944,0.8221537321950726
