protocol,alpha,N,seed,amplitude_value,amplitude_label,effective_eta,run_stem,t_max,chi_final,chi_peak,t_peak,reached_onset_0p1,t_onset_0p1,not_reached_0p1,reached_onset_0p4,t_onset_0p4,not_reached_0p4
absolute,1.8,64,101,0.0001,etaabs_1em04,0.0001,absolute_a1p80_N64_seed101_etaabs_1em04,600.0,0.1267641129028686,0.8571089443740583,508.5,True,482.5,False,True,489.5,False
absolute,1.8,64,101,0.0003,etaabs_3em04,0.0003,absolute_a1p80_N64_seed101_etaabs_3em04,600.0,0.222026209676824,0.7186690948223344,196.0,True,166.0,False,True,174.0,False
absolute,1.8,64,101,0.001,etaabs_1em03,0.001,absolute_a1p80_N64_seed101_etaabs_1em03,600.0,0.1267641129028686,0.8151881458358712,69.0,True,54.5,False,True,58.5,False
absolute,1.8,64,101,0.003,etaabs_3em03,0.003,absolute_a1p80_N64_seed101_etaabs_3em03,600.0,0.17439516128984628,0.8058360447728077,51.5,True,20.5,False,True,22.5,False
absolute,1.8,64,102,0.0001,etaabs_1em04,0.0001,absolute_a1p80_N64_seed102_etaabs_1em04,600.0,0.222026209676824,0.7618565333964709,494.0,True,469.5,False,True,475.5,False
absolute,1.8,64,102,0.0003,etaabs_3em04,0.0003,absolute_a1p80_N64_seed102_etaabs_3em04,600.0,0.2696572580638017,0.7141680908049575,189.5,True,161.5,False,True,167.5,False
absolute,1.8,64,102,0.001,etaabs_1em03,0.001,absolute_a1p80_N64_seed102_etaabs_1em03,600.0,0.222026209676824,0.762083008798865,70.5,True,52.5,False,True,58.0,False
absolute,1.8,64,102,0.003,etaabs_3em03,0.003,absolute_a1p80_N64_seed102_etaabs_3em03,600.0,0.1743951612898463,0.8095619093490531,43.5,True,19.5,False,True,23.0,False
absolute,1.8,64,103,0.0001,etaabs_1em04,0.0001,absolute_a1p80_N64_seed103_etaabs_1em04,600.0,0.17439516128984628,0.7525397836408758,509.0,True,476.0,False,True,483.5,False
absolute,1.8,64,103,0.0003,etaabs_3em04,0.0003,absolute_a1p80_N64_seed103_etaabs_3em04,600.0,0.1267641129028686,0.8146418720134239,192.5,True,164.0,False,True,169.5,False
absolute,1.8,64,103,0.001,etaabs_1em03,0.001,absolute_a1p80_N64_seed103_etaabs_1em03,600.0,0.22202620967682402,0.7194998755171415,77.0,True,53.0,False,True,58.0,False
absolute,1.8,64,103,0.003,etaabs_3em03,0.003,absolute_a1p80_N64_seed103_etaabs_3em03,600.0,0.17439516128984628,0.7715729403330652,31.5,True,20.0,False,True,22.5,False
absolute,1.8,64,104,0.0001,etaabs_1em04,0.0001,absolute_a1p80_N64_seed104_etaabs_1em04,600.0,0.12694310453039231,0.814767679022333,539.0,True,515.5,False,True,525.5,False
absolute,1.8,64,104,0.0003,etaabs_3em04,0.0003,absolute_a1p80_N64_seed104_etaabs_3em04,600.0,0.17439516128984628,0.7703906155235545,192.0,True,175.5,False,True,183.0,False
absolute,1.8,64,104,0.001,etaabs_1em03,0.001,absolute_a1p80_N64_seed104_etaabs_1em03,600.0,0.0791330645158909,0.9010080184533231,79.0,True,55.5,False,True,61.0,False
absolute,1.8,64,104,0.003,etaabs_3em03,0.003,absolute_a1p80_N64_seed104_etaabs_3em03,600.0,0.222026209676824,0.6774492635820323,35.5,True,19.5,False,True,23.0,False
absolute,1.8,64,105,0.0001,etaabs_1em04,0.0001,absolute_a1p80_N64_seed105_etaabs_1em04,600.0,0.12676411290286863,0.8127151424570562,527.0,True,497.0,False,True,504.5,False
absolute,1.8,64,105,0.0003,etaabs_3em04,0.0003,absolute_a1p80_N64_seed105_etaabs_3em04,600.0,0.17439516128984628,0.8052866504971506,201.0,True,170.5,False,True,175.5,False
absolute,1.8,64,105,0.001,etaabs_1em03,0.001,absolute_a1p80_N64_seed105_etaabs_1em03,600.0,0.1743951612898463,0.8096981547920818,71.5,True,54.5,False,True,58.0,False
absolute,1.8,64,105,0.003,etaabs_3em03,0.003,absolute_a1p80_N64_seed105_etaabs_3em03,600.0,0.17439516128984628,0.8096578893014543,37.0,True,19.5,False,True,23.0,False
absolute,1.8,128,101,0.0001,etaabs_1em04,0.0001,absolute_a1p80_N128_seed101_etaabs_1em04,600.0,0.22829861111052052,0.7426069668842539,367.0,True,339.0,False,True,345.0,False
absolute,1.8,128,101,0.0003,etaabs_3em04,0.0003,absolute_a1p80_N128_seed101_etaabs_3em04,600.0,0.25192212301522343,0.740177005744446,139.0,True,117.5,False,True,122.0,False
absolute,1.8,128,101,0.001,etaabs_1em03,0.001,absolute_a1p80_N128_seed101_etaabs_1em03,600.0,0.22829861111052055,0.7432287108500193,54.5,True,38.0,False,True,41.5,False
