"file_path","file_name","trim_strategy","n","lambda2","lambda3","n_zero_eps","lambda_first_pos_idx","lambda_first_pos"
"results\time_scan_N256_alpha174_plateau\matrix_N256_a1.74_T480_seed101.csv","matrix_N256_a1.74_T480_seed101.csv","drop_first_row=0,drop_first_col=0","256","-5.713259810359349e-16","-5.551321248498927e-16","196","197","1.1099999699797423"
"results\time_scan_N256_alpha174_plateau\matrix_N256_a1.74_T480_seed102.csv","matrix_N256_a1.74_T480_seed102.csv","drop_first_row=0,drop_first_col=0","256","-6.235461406594415e-16","-5.246688032165338e-16","174","175","3.978928407634828e-06"
"results\time_scan_N256_alpha174_plateau\matrix_N256_a1.74_T480_seed103.csv","matrix_N256_a1.74_T480_seed103.csv","drop_first_row=0,drop_first_col=0","256","-6.436145045687909e-16","-6.165770382294463e-16","193","194","0.9731996684699986"
"results\time_scan_N256_alpha174_plateau\matrix_N256_a1.74_T560_seed101.csv","matrix_N256_a1.74_T560_seed101.csv","drop_first_row=0,drop_first_col=0","256","-4.902650328726562e-16","-4.864044577762752e-16","196","197","1.1099999999809005"
"results\time_scan_N256_alpha174_plateau\matrix_N256_a1.74_T560_seed102.csv","matrix_N256_a1.74_T560_seed102.csv","drop_first_row=0,drop_first_col=0","256","-7.052599047847446e-16","-6.523665890097354e-16","176","177","1.1099999999720154"
"results\time_scan_N256_alpha174_plateau\matrix_N256_a1.74_T560_seed103.csv","matrix_N256_a1.74_T560_seed103.csv","drop_first_row=0,drop_first_col=0","256","-5.555833626268664e-16","-5.310116302233587e-16","196","197","1.1099999999807193"
"results\time_scan_N256_refined\matrix_N256_a1.80_T480_seed101.csv","matrix_N256_a1.80_T480_seed101.csv","drop_first_row=0,drop_first_col=0","256","-6.611932124913051e-16","-6.107353106721011e-16","192","193","1.1999999994300972"
"results\time_scan_N256_refined\matrix_N256_a1.80_T480_seed102.csv","matrix_N256_a1.80_T480_seed102.csv","drop_first_row=0,drop_first_col=0","256","-7.046245396963745e-16","-6.559597305127167e-16","168","169","1.1999999318349999"
"results\time_scan_N256_refined\matrix_N256_a1.80_T480_seed103.csv","matrix_N256_a1.80_T480_seed103.csv","drop_first_row=0,drop_first_col=0","256","-5.64736362270412e-16","-4.913799698015935e-16","196","197","1.199997769675318"
"results\time_scan_N256_refined\matrix_N256_a1.80_T560_seed101.csv","matrix_N256_a1.80_T560_seed101.csv","drop_first_row=0,drop_first_col=0","256","-5.912770353613619e-16","-5.238370122518144e-16","192","193","1.199999999983093"
"results\time_scan_N256_refined\matrix_N256_a1.80_T560_seed102.csv","matrix_N256_a1.80_T560_seed102.csv","drop_first_row=0,drop_first_col=0","256","-6.916506923052779e-16","-6.834361267220857e-16","168","169","1.1999999999830928"
"results\time_scan_N256_refined\matrix_N256_a1.80_T560_seed103.csv","matrix_N256_a1.80_T560_seed103.csv","drop_first_row=0,drop_first_col=0","256","-6.718198283279105e-16","-6.58170478900338e-16","196","197","1.1999999999828719"
