t,chi_hhi_star,lambda2,total_weight,load_cv
0.0,5.272871169920797e-07,1.0003203887823162,191.9943797026275,0.0007149617896770711
2.0,5.261649573811491e-07,0.8342426666538888,160.00699427582362,0.00029421937593204116
4.0,5.260016193926098e-07,0.8071480282328367,154.7963306383183,0.00013253761833276532
6.0,5.260072582437388e-07,0.8018821956902131,153.7844944574283,6.587744894707637e-05
8.0,5.26062882528947e-07,0.8008231790114577,153.58165950399672,4.220843212754672e-05
10.0,5.261457870597779e-07,0.8006059804854871,153.54073550267213,3.620152345802467e-05
12.0,5.262514810091086e-07,0.8005584255865785,153.5324597611679,3.5166303955821973e-05
14.0,5.263790988374761e-07,0.8005450501236157,153.53077551644589,3.509860436147157e-05
16.0,5.265285014413156e-07,0.8005385135544095,153.53042063391496,3.515863759631243e-05
18.0,5.266996961913327e-07,0.8005332996522159,153.5303320359438,3.5213395141470735e-05
20.0,5.268927221895119e-07,0.8005282968825495,153.53029493583816,3.52542999942965e-05
22.0,5.271076282862507e-07,0.8005232816841318,153.53026593298432,3.5287872604435205e-05
24.0,5.273444692178978e-07,0.8005182090159948,153.53023625322538,3.5319144676207285e-05
26.0,5.276033051075479e-07,0.80051306949634,153.5302041178063,3.535080750785747e-05
28.0,5.278842015103238e-07,0.8005078607545087,153.53016916074552,3.538416254126645e-05
30.0,5.281872295079717e-07,0.8005025817403268,153.53013130090883,3.541981839297148e-05
32.0,5.285124657877196e-07,0.8004972316182319,153.53009051411868,3.5458058865852675e-05
34.0,5.288599927081814e-07,0.8004918095634848,153.5300467871067,3.549901948703053e-05
36.0,5.292298983597082e-07,0.8004863147296795,153.5300001082053,3.5542769130838384e-05
38.0,5.296222766239212e-07,0.8004807462459098,153.5299504654616,3.558934717787853e-05
40.0,5.300372272352552e-07,0.800475103217673,153.52989784625038,3.563878032034184e-05
42.0,5.304748558454524e-07,0.8004693847275113,153.5298422371894,3.569109014340498e-05
44.0,5.309352740914784e-07,0.8004635898351284,153.52978362411534,3.574629654532631e-05
46.0,5.314185996673974e-07,0.8004577175771816,153.52972199207161,3.5804419284259755e-05
48.0,5.319249564006276e-07,0.800451766966902,153.52965732529822,3.586547868297785e-05
50.0,5.324544743319115e-07,0.8004457369936211,153.52958960722134,3.592949595542979e-05
52.0,5.330072898001217e-07,0.8004396266222474,153.5295188204426,3.5996493363750446e-05
54.0,5.335835455310764e-07,0.8004334347927079,153.52944494672778,3.6066494299843356e-05
56.0,5.341833907314626e-07,0.8004271604193619,153.5293679669948,3.613952333342429e-05
58.0,5.348069811871098e-07,0.800420802390393,153.52928786130127,3.621560624574207e-05
60.0,5.354544793661925e-07,0.8004143595671768,153.5292046088313,3.629477005738967e-05
62.0,5.361260545274004e-07,0.8004078307836263,153.5291181878817,3.6377043054348655e-05
64.0,5.368218828331329e-07,0.8004012148455163,153.52902857584746,3.646245481331576e-05
66.0,5.375421474679874e-07,0.8003945105297816,153.5289357492068,3.655103622820228e-05
68.0,5.38287038762932e-07,0.800387716583792,153.52883968350505,3.664281953720071e-05
70.0,5.390567543244715e-07,0.8003808317246022,153.52874035333832,3.6737838351110007e-05
72.0,5.398514991699507e-07,0.8003738546381752,153.52863773233605,3.683612768303704e-05
74.0,5.406714858688e-07,0.8003667839785783,153.52853179314303,3.693772397932615e-05
76.0,5.41516934689535e-07,0.8003596183671525,153.52842250740048,3.704266515201656e-05
78.0,5.423880737535448e-07,0.800352356391649,153.5283098457265,3.7150990612682705e-05
80.0,5.432851391949125e-07,0.8003449966053409,153.52819377769544,3.726274130789695e-05
82.0,5.442083753270602e-07,0.8003375375260978,153.52807427181654,3.737795975618812e-05
84.0,5.45158034816986e-07,0.800329977635432,153.52795129551174,3.7496690086797705e-05
86.0,5.461343788654116e-07,0.8003223153775068,153.52782481509246,3.761897807998287e-05
88.0,5.471376773956652e-07,0.8003145491581143,153.52769479573539,3.774487120925772e-05
90.0,5.481682092496588e-07,0.8003066773436109,153.52756120145736,3.787441868540272e-05
92.0,5.492262623917711e-07,0.8002986982598199,153.5274239950892,3.800767150236646e-05
94.0,5.503121341212551e-07,0.8002906101908906,153.5272831382485,3.814468248538446e-05
96.0,5.514261312933333e-07,0.8002824113781165,153.52713859131114,3.828550634086629e-05
98.0,5.525685705488169e-07,0.8002741000187138,153.52699031338202,3.843019970878384e-05
100.0,5.537397785533158e-07,0.8002656742645494,153.5268382622641,3.857882121707219e-05
102.0,5.54940092245995e-07,0.8002571322208293,153.5266823944268,3.8731431538542665e-05
104.0,5.561698590982669e-07,0.8002484719447301,153.52652266497242,3.8888093450279596e-05
106.0,5.574294373827991e-07,0.8002396914439884,153.52635902760198,3.904887189545012e-05
108.0,5.587191964535297e-07,0.8002307886754302,153.526191434579,3.921383404799563e-05
110.0,5.600395170367858e-07,0.8002217615434506,153.52601983669234,3.938304937998426e-05
112.0,5.613907915337813e-07,0.8002126078984318,153.52584418321717,3.955658973200324e-05
114.0,5.627734243362447e-07,0.8002033255351061,153.52566442187472,3.973452938652167e-05
116.0,5.641878321533211e-07,0.8001939121908507,153.52548049879007,3.991694514451173e-05
118.0,5.65634444352975e-07,0.8001843655439225,153.52529235844855,4.010391640536161e-05
120.0,5.671137033162125e-07,0.8001746832116211,153.52509994365013,4.0295525250438676e-05
122.0,5.686260648064544e-07,0.8001648627483835,153.52490319546214,4.049185653011513e-05
124.0,5.70171998353022e-07,0.8001549016438022,153.52470205317002,4.06929979548086e-05
126.0,5.717519876510781e-07,0.8001447973205676,153.52449645422593,4.089904018992847e-05
128.0,5.733665309770748e-07,0.8001345471323277,153.52428633419566,4.1110076955133575e-05
130.0,5.75016141622034e-07,0.8001241483614645,153.5240716267029,4.1326205127972866e-05
