file_path,file_name,trim_strategy,n,lambda2,lambda3,n_zero_eps,lambda_first_pos_idx,lambda_first_pos
results\alpha_scan_transition_N192_T200\W_full_N192_a1.66_b1.0_g1.0_seed101.csv,W_full_N192_a1.66_b1.0_g1.0_seed101.csv,"drop_first_row=0,drop_first_col=0",192,0.6600293486655313,0.6602702115886954,1,2,0.6600293486655313
results\alpha_scan_transition_N192_T200\W_full_N192_a1.66_b1.0_g1.0_seed102.csv,W_full_N192_a1.66_b1.0_g1.0_seed102.csv,"drop_first_row=0,drop_first_col=0",192,0.6598113640081621,0.6603174157645276,1,2,0.6598113640081621
results\alpha_scan_transition_N192_T200\W_full_N192_a1.66_b1.0_g1.0_seed103.csv,W_full_N192_a1.66_b1.0_g1.0_seed103.csv,"drop_first_row=0,drop_first_col=0",192,0.6597734863527509,0.6603545815146508,1,2,0.6597734863527509
results\alpha_scan_transition_N192_T200\W_full_N192_a1.68_b1.0_g1.0_seed101.csv,W_full_N192_a1.68_b1.0_g1.0_seed101.csv,"drop_first_row=0,drop_first_col=0",192,0.6799835955849848,0.6802405521637683,1,2,0.6799835955849848
results\alpha_scan_transition_N192_T200\W_full_N192_a1.68_b1.0_g1.0_seed102.csv,W_full_N192_a1.68_b1.0_g1.0_seed102.csv,"drop_first_row=0,drop_first_col=0",192,0.6797511666712563,0.6802902006623809,1,2,0.6797511666712563
results\alpha_scan_transition_N192_T200\W_full_N192_a1.68_b1.0_g1.0_seed103.csv,W_full_N192_a1.68_b1.0_g1.0_seed103.csv,"drop_first_row=0,drop_first_col=0",192,0.6797106981541636,0.6803300928514205,1,2,0.6797106981541636
results\alpha_scan_transition_N192_T200\W_full_N192_a1.74_b1.0_g1.0_seed101.csv,W_full_N192_a1.74_b1.0_g1.0_seed101.csv,"drop_first_row=0,drop_first_col=0",192,0.7398144580657744,0.7401258490504898,1,2,0.7398144580657744
results\alpha_scan_transition_N192_T200\W_full_N192_a1.74_b1.0_g1.0_seed102.csv,W_full_N192_a1.74_b1.0_g1.0_seed102.csv,"drop_first_row=0,drop_first_col=0",192,0.7395328089172062,0.7401836145488921,1,2,0.7395328089172062
results\alpha_scan_transition_N192_T200\W_full_N192_a1.74_b1.0_g1.0_seed103.csv,W_full_N192_a1.74_b1.0_g1.0_seed103.csv,"drop_first_row=0,drop_first_col=0",192,0.7394834693271354,0.7402326950933523,1,2,0.7394834693271354
results\alpha_scan_transition_N192_T200\W_full_N192_a1.76_b1.0_g1.0_seed101.csv,W_full_N192_a1.76_b1.0_g1.0_seed101.csv,"drop_first_row=0,drop_first_col=0",192,0.7597464631619439,0.7600783142557649,1,2,0.7597464631619439
results\alpha_scan_transition_N192_T200\W_full_N192_a1.76_b1.0_g1.0_seed102.csv,W_full_N192_a1.76_b1.0_g1.0_seed102.csv,"drop_first_row=0,drop_first_col=0",192,0.7594461700653773,0.7601390769190595,1,2,0.7594461700653773
results\alpha_scan_transition_N192_T200\W_full_N192_a1.76_b1.0_g1.0_seed103.csv,W_full_N192_a1.76_b1.0_g1.0_seed103.csv,"drop_first_row=0,drop_first_col=0",192,0.7593934529324802,0.7601915969563877,1,2,0.7593934529324802
results\alpha_scan_transition_N192_T200\W_full_N192_a1.7_b1.0_g1.0_seed101.csv,W_full_N192_a1.7_b1.0_g1.0_seed101.csv,"drop_first_row=0,drop_first_col=0",192,0.6999327169764756,0.7002067433946931,1,2,0.6999327169764756
results\alpha_scan_transition_N192_T200\W_full_N192_a1.7_b1.0_g1.0_seed102.csv,W_full_N192_a1.7_b1.0_g1.0_seed102.csv,"drop_first_row=0,drop_first_col=0",192,0.6996849136197201,0.7002589612135647,1,2,0.6996849136197201
results\alpha_scan_transition_N192_T200\W_full_N192_a1.7_b1.0_g1.0_seed103.csv,W_full_N192_a1.7_b1.0_g1.0_seed103.csv,"drop_first_row=0,drop_first_col=0",192,0.6996416812137977,0.700301740417266,1,2,0.6996416812137977
results\alpha_scan_transition_N192_T200\W_full_N192_a1.8_b1.0_g1.0_seed101.csv,W_full_N192_a1.8_b1.0_g1.0_seed101.csv,"drop_first_row=0,drop_first_col=0",192,0.7995910287817203,0.7999678291073583,1,2,0.7995910287817203
results\alpha_scan_transition_N192_T200\W_full_N192_a1.8_b1.0_g1.0_seed102.csv,W_full_N192_a1.8_b1.0_g1.0_seed102.csv,"drop_first_row=0,drop_first_col=0",192,0.7992495056809066,0.8000350858495408,1,2,0.7992495056809066
results\alpha_scan_transition_N192_T200\W_full_N192_a1.8_b1.0_g1.0_seed103.csv,W_full_N192_a1.8_b1.0_g1.0_seed103.csv,"drop_first_row=0,drop_first_col=0",192,0.7991892854027298,0.8000951335918736,1,2,0.7991892854027298
results\alpha_scan_transition_N192_T400\W_full_N192_a1.66_b1.0_g1.0_seed101.csv,W_full_N192_a1.66_b1.0_g1.0_seed101.csv,"drop_first_row=0,drop_first_col=0",192,-3.752390987662808e-16,-2.9523939308739545e-16,133,134,3.7228455033721836e-10
results\alpha_scan_transition_N192_T400\W_full_N192_a1.66_b1.0_g1.0_seed102.csv,W_full_N192_a1.66_b1.0_g1.0_seed102.csv,"drop_first_row=0,drop_first_col=0",192,-4.3905256069150525e-16,-4.0459703261745577e-16,137,138,1.7323226549421223e-10
results\alpha_scan_transition_N192_T400\W_full_N192_a1.66_b1.0_g1.0_seed103.csv,W_full_N192_a1.66_b1.0_g1.0_seed103.csv,"drop_first_row=0,drop_first_col=0",192,-5.542269680452263e-16,-4.884413167171e-16,136,137,5.384259926799473e-08
results\alpha_scan_transition_N192_T400\W_full_N192_a1.68_b1.0_g1.0_seed101.csv,W_full_N192_a1.68_b1.0_g1.0_seed101.csv,"drop_first_row=0,drop_first_col=0",192,-5.556584267966468e-16,-4.76234560385317e-16,138,139,1.2692505662239797e-10
results\alpha_scan_transition_N192_T400\W_full_N192_a1.68_b1.0_g1.0_seed102.csv,W_full_N192_a1.68_b1.0_g1.0_seed102.csv,"drop_first_row=0,drop_first_col=0",192,-4.793585785660542e-16,-4.514458116297617e-16,139,140,3.430850255312381e-09
results\alpha_scan_transition_N192_T400\W_full_N192_a1.68_b1.0_g1.0_seed103.csv,W_full_N192_a1.68_b1.0_g1.0_seed103.csv,"drop_first_row=0,drop_first_col=0",192,-5.381887615904097e-16,-4.9266802620198375e-16,136,137,6.496494453500645e-10
results\alpha_scan_transition_N192_T400\W_full_N192_a1.74_b1.0_g1.0_seed101.csv,W_full_N192_a1.74_b1.0_g1.0_seed101.csv,"drop_first_row=0,drop_first_col=0",192,-6.224326109377894e-16,-5.861470128880402e-16,150,151,1.1049796487709127e-06
results\alpha_scan_transition_N192_T400\W_full_N192_a1.74_b1.0_g1.0_seed102.csv,W_full_N192_a1.74_b1.0_g1.0_seed102.csv,"drop_first_row=0,drop_first_col=0",192,-4.45442149480477e-16,-4.2955182961057745e-16,143,144,4.0903886928252e-09
results\alpha_scan_transition_N192_T400\W_full_N192_a1.74_b1.0_g1.0_seed103.csv,W_full_N192_a1.74_b1.0_g1.0_seed103.csv,"drop_first_row=0,drop_first_col=0",192,-5.911220360302458e-16,-5.59754990334403e-16,138,139,2.9941538137698966e-10
results\alpha_scan_transition_N192_T400\W_full_N192_a1.76_b1.0_g1.0_seed101.csv,W_full_N192_a1.76_b1.0_g1.0_seed101.csv,"drop_first_row=0,drop_first_col=0",192,-7.09479482021018e-16,-6.462194421443604e-16,146,147,3.964078560620689e-08
results\alpha_scan_transition_N192_T400\W_full_N192_a1.76_b1.0_g1.0_seed102.csv,W_full_N192_a1.76_b1.0_g1.0_seed102.csv,"drop_first_row=0,drop_first_col=0",192,-5.876403672061595e-16,-5.388041184641524e-16,143,144,6.975459321100531e-09
results\alpha_scan_transition_N192_T400\W_full_N192_a1.76_b1.0_g1.0_seed103.csv,W_full_N192_a1.76_b1.0_g1.0_seed103.csv,"drop_first_row=0,drop_first_col=0",192,-5.442556736076974e-16,-4.605790569355406e-16,141,142,2.343229380791749e-09
results\alpha_scan_transition_N192_T400\W_full_N192_a1.7_b1.0_g1.0_seed101.csv,W_full_N192_a1.7_b1.0_g1.0_seed101.csv,"drop_first_row=0,drop_first_col=0",192,-5.58817391370678e-16,-4.988769457230237e-16,144,145,1.0480586254443813
results\alpha_scan_transition_N192_T400\W_full_N192_a1.7_b1.0_g1.0_seed102.csv,W_full_N192_a1.7_b1.0_g1.0_seed102.csv,"drop_first_row=0,drop_first_col=0",192,-5.058907833754421e-16,-4.2951119551321805e-16,141,142,5.829161597524028e-09
results\alpha_scan_transition_N192_T400\W_full_N192_a1.7_b1.0_g1.0_seed103.csv,W_full_N192_a1.7_b1.0_g1.0_seed103.csv,"drop_first_row=0,drop_first_col=0",192,-4.848988613087086e-16,-4.756117534254594e-16,137,138,7.428962289779406e-08
results\alpha_scan_transition_N192_T400\W_full_N192_a1.8_b1.0_g1.0_seed101.csv,W_full_N192_a1.8_b1.0_g1.0_seed101.csv,"drop_first_row=0,drop_first_col=0",192,-5.869973914916272e-16,-5.121084398434795e-16,148,149,1.199972858771868
results\alpha_scan_transition_N192_T400\W_full_N192_a1.8_b1.0_g1.0_seed102.csv,W_full_N192_a1.8_b1.0_g1.0_seed102.csv,"drop_first_row=0,drop_first_col=0",192,-5.654059026778542e-16,-5.478106443949689e-16,143,144,3.482046486477976e-06
results\alpha_scan_transition_N192_T400\W_full_N192_a1.8_b1.0_g1.0_seed103.csv,W_full_N192_a1.8_b1.0_g1.0_seed103.csv,"drop_first_row=0,drop_first_col=0",192,-6.469610136808084e-16,-5.943407045557704e-16,143,144,1.5657564113793728e-10
results\alpha_scan_transition_N64_T200\W_full_N64_a1.66_b1.0_g1.0_seed101.csv,W_full_N64_a1.66_b1.0_g1.0_seed101.csv,"drop_first_row=0,drop_first_col=0",64,0.5292771744961218,0.6101742492182994,1,2,0.5292771744961218
results\alpha_scan_transition_N64_T200\W_full_N64_a1.66_b1.0_g1.0_seed102.csv,W_full_N64_a1.66_b1.0_g1.0_seed102.csv,"drop_first_row=0,drop_first_col=0",64,0.06423123165289868,0.2738175578937591,1,2,0.06423123165289868
results\alpha_scan_transition_N64_T200\W_full_N64_a1.66_b1.0_g1.0_seed103.csv,W_full_N64_a1.66_b1.0_g1.0_seed103.csv,"drop_first_row=0,drop_first_col=0",64,0.3021872502349481,0.49901314561497206,1,2,0.3021872502349481
results\alpha_scan_transition_N64_T200\W_full_N64_a1.68_b1.0_g1.0_seed101.csv,W_full_N64_a1.68_b1.0_g1.0_seed101.csv,"drop_first_row=0,drop_first_col=0",64,0.40967485486193406,0.5522429981383536,1,2,0.40967485486193406
results\alpha_scan_transition_N64_T200\W_full_N64_a1.68_b1.0_g1.0_seed102.csv,W_full_N64_a1.68_b1.0_g1.0_seed102.csv,"drop_first_row=0,drop_first_col=0",64,0.006983040606665373,0.05863770371496973,1,2,0.006983040606665373
results\alpha_scan_transition_N64_T200\W_full_N64_a1.68_b1.0_g1.0_seed103.csv,W_full_N64_a1.68_b1.0_g1.0_seed103.csv,"drop_first_row=0,drop_first_col=0",64,0.07806534681363358,0.30239863360423536,1,2,0.07806534681363358
results\alpha_scan_transition_N64_T200\W_full_N64_a1.74_b1.0_g1.0_seed101.csv,W_full_N64_a1.74_b1.0_g1.0_seed101.csv,"drop_first_row=0,drop_first_col=0",64,0.0026214438728556005,0.027209976415220574,1,2,0.0026214438728556005
results\alpha_scan_transition_N64_T200\W_full_N64_a1.74_b1.0_g1.0_seed102.csv,W_full_N64_a1.74_b1.0_g1.0_seed102.csv,"drop_first_row=0,drop_first_col=0",64,4.07876558936009e-07,6.418019411977644e-06,1,2,4.07876558936009e-07
