file_path,file_name,reason
results\pre_round3_targeted_dynamics\final_loads_seed108.csv,final_loads_seed108.csv,Could not extract a finite square numeric matrix
results\pre_round3_targeted_dynamics\final_loads_seed109.csv,final_loads_seed109.csv,Could not extract a finite square numeric matrix
results\pre_round3_targeted_dynamics\final_loads_seed110.csv,final_loads_seed110.csv,Could not extract a finite square numeric matrix
results\pre_round3_targeted_dynamics\final_loads_seed114.csv,final_loads_seed114.csv,Could not extract a finite square numeric matrix
results\pre_round3_targeted_dynamics\final_loads_seed123.csv,final_loads_seed123.csv,Could not extract a finite square numeric matrix
results\pre_round3_targeted_dynamics\final_loads_seed202.csv,final_loads_seed202.csv,Could not extract a finite square numeric matrix
results\pre_round3_targeted_dynamics\trajectory_seed108.csv,trajectory_seed108.csv,Could not extract a finite square numeric matrix
results\pre_round3_targeted_dynamics\trajectory_seed109.csv,trajectory_seed109.csv,Could not extract a finite square numeric matrix
results\pre_round3_targeted_dynamics\trajectory_seed110.csv,trajectory_seed110.csv,Could not extract a finite square numeric matrix
results\pre_round3_targeted_dynamics\trajectory_seed114.csv,trajectory_seed114.csv,Could not extract a finite square numeric matrix
results\pre_round3_targeted_dynamics\trajectory_seed123.csv,trajectory_seed123.csv,Could not extract a finite square numeric matrix
results\pre_round3_targeted_dynamics\trajectory_seed202.csv,trajectory_seed202.csv,Could not extract a finite square numeric matrix
results\pre_round4b_longtime\trajectory_N128_seed101.csv,trajectory_N128_seed101.csv,Could not extract a finite square numeric matrix
results\pre_round4b_longtime\trajectory_N128_seed103.csv,trajectory_N128_seed103.csv,Could not extract a finite square numeric matrix
results\pre_round4b_longtime\trajectory_N128_seed105.csv,trajectory_N128_seed105.csv,Could not extract a finite square numeric matrix
results\pre_round4b_longtime\trajectory_N192_seed101.csv,trajectory_N192_seed101.csv,Could not extract a finite square numeric matrix
results\pre_round4b_longtime\trajectory_N192_seed102.csv,trajectory_N192_seed102.csv,Could not extract a finite square numeric matrix
results\pre_round4b_longtime\trajectory_N192_seed105.csv,trajectory_N192_seed105.csv,Could not extract a finite square numeric matrix
results\pre_round4b_longtime\trajectory_N256_seed101.csv,trajectory_N256_seed101.csv,Could not extract a finite square numeric matrix
results\pre_round4b_longtime\trajectory_N256_seed102.csv,trajectory_N256_seed102.csv,Could not extract a finite square numeric matrix
results\pre_round4b_longtime\trajectory_N256_seed103.csv,trajectory_N256_seed103.csv,Could not extract a finite square numeric matrix
results\pre_round4b_longtime\trajectory_N256_seed104.csv,trajectory_N256_seed104.csv,Could not extract a finite square numeric matrix
results\pre_round4b_longtime\trajectory_N256_seed105.csv,trajectory_N256_seed105.csv,Could not extract a finite square numeric matrix
results\pre_round4b_longtime\trajectory_N384_seed101.csv,trajectory_N384_seed101.csv,Could not extract a finite square numeric matrix
results\pre_round4b_longtime\trajectory_N384_seed102.csv,trajectory_N384_seed102.csv,Could not extract a finite square numeric matrix
results\pre_round4b_longtime\trajectory_N384_seed103.csv,trajectory_N384_seed103.csv,Could not extract a finite square numeric matrix
results\pre_round4b_longtime\trajectory_N384_seed104.csv,trajectory_N384_seed104.csv,Could not extract a finite square numeric matrix
results\pre_round4b_longtime\trajectory_N384_seed105.csv,trajectory_N384_seed105.csv,Could not extract a finite square numeric matrix
results\pre_round4c_N512_longtime\trajectory_N512_seed101.csv,trajectory_N512_seed101.csv,Could not extract a finite square numeric matrix
results\pre_round4c_N512_longtime\trajectory_N512_seed102.csv,trajectory_N512_seed102.csv,Could not extract a finite square numeric matrix
results\pre_round4c_N512_longtime\trajectory_N512_seed103.csv,trajectory_N512_seed103.csv,Could not extract a finite square numeric matrix
results\pre_round4c_N512_longtime\trajectory_N512_seed104.csv,trajectory_N512_seed104.csv,Could not extract a finite square numeric matrix
results\pre_round4c_N512_longtime\trajectory_N512_seed105.csv,trajectory_N512_seed105.csv,Could not extract a finite square numeric matrix
