alpha,T,n_runs,chi_hhi_star_mean,chi_hhi_star_std,lambda2_mean,lambda2_std,runtime_seconds_mean,runtime_seconds_std
1.74,320.0,3,0.002557848346295769,0.0028919794207583503,0.3483221789654065,0.2900587029903359,78.35721973329782,0.9250118190363972
1.74,330.0,3,0.12881198503878197,0.11995467775211867,0.055539752988418824,0.09614495780125844,81.21644430002198,4.129726447002798
1.74,340.0,3,0.47506184458743855,0.26623549191883156,4.734142266131954e-06,8.199765641497617e-06,81.2039814000018,1.8055726593112131
1.74,350.0,3,0.7033515444099364,0.05207455159564337,1.0158080505954515e-12,1.759570864635563e-12,84.94485579993732,1.053218523321861
1.74,360.0,3,0.7837292732136235,0.04109136868169767,-2.0270116294871087e-16,2.3519623052504215e-16,87.99957783333957,2.527269673419556
1.8,320.0,3,0.1600513910780967,0.14508377220130425,0.032583406151115456,0.05642335276580093,80.05503473329979,1.7482168693668458
1.8,330.0,3,0.523962853464799,0.23708201739950757,7.14489205288611e-07,1.237530400670645e-06,81.32512903329916,0.9980047464061844
1.8,340.0,3,0.7266618210968744,0.027662270166211905,9.424513066882964e-14,1.6362827723191396e-13,82.84431023336947,0.7231026614133285
1.8,350.0,3,0.7790624371347974,0.03845745344655143,-3.350422819624554e-16,3.589941524356176e-17,85.4523852999943,1.086603310201697
1.8,360.0,3,0.5557825556462128,0.20774149573555142,-3.864800711276533e-16,1.0270913419821846e-16,88.73026429997601,0.5543523097254557
