label,N,alpha,beta,gamma,T,seed,chi_hhi_star,lambda2,total_weight,runtime_seconds,summary_path,matrix_path
N192_a1.74_T250_seed101,192,1.74,1.0,1.0,250.0,101,2.5160800497581727e-06,0.7373079856701181,70.96124590631413,57.66672830004245,results\time_scan_N192\summary_N192_a1.74_T250_seed101.json,results\time_scan_N192\matrix_N192_a1.74_T250_seed101.csv
N192_a1.74_T250_seed102,192,1.74,1.0,1.0,250.0,102,2.6355992475594468e-06,0.7364795679429946,70.95764681542522,56.796111800009385,results\time_scan_N192\summary_N192_a1.74_T250_seed102.json,results\time_scan_N192\matrix_N192_a1.74_T250_seed102.csv
N192_a1.74_T250_seed103,192,1.74,1.0,1.0,250.0,103,2.6134559198453816e-06,0.7363236924579502,70.95832827443019,56.86909089994151,results\time_scan_N192\summary_N192_a1.74_T250_seed103.json,results\time_scan_N192\matrix_N192_a1.74_T250_seed103.csv
N192_a1.74_T300_seed101,192,1.74,1.0,1.0,300.0,101,7.127791045280826e-06,0.7251765942117043,70.82682924138572,69.77594970003702,results\time_scan_N192\summary_N192_a1.74_T300_seed101.json,results\time_scan_N192\matrix_N192_a1.74_T300_seed101.csv
N192_a1.74_T300_seed102,192,1.74,1.0,1.0,300.0,102,1.0046936977251148e-05,0.7156100721350614,70.75081405411356,72.3703335999744,results\time_scan_N192\summary_N192_a1.74_T300_seed102.json,results\time_scan_N192\matrix_N192_a1.74_T300_seed102.csv
N192_a1.74_T300_seed103,192,1.74,1.0,1.0,300.0,103,1.0746406954190248e-05,0.7128607127800619,70.7349230528578,75.78651570004877,results\time_scan_N192\summary_N192_a1.74_T300_seed103.json,results\time_scan_N192\matrix_N192_a1.74_T300_seed103.csv
N192_a1.74_T350_seed101,192,1.74,1.0,1.0,350.0,101,0.6448419584709146,3.047585474482331e-12,53.27920173064891,84.64336179988459,results\time_scan_N192\summary_N192_a1.74_T350_seed101.json,results\time_scan_N192\matrix_N192_a1.74_T350_seed101.csv
N192_a1.74_T350_seed102,192,1.74,1.0,1.0,350.0,102,0.7205967500084969,-1.3078160788021893e-16,40.9352867733633,83.35233889997471,results\time_scan_N192\summary_N192_a1.74_T350_seed102.json,results\time_scan_N192\matrix_N192_a1.74_T350_seed102.csv
N192_a1.74_T350_seed103,192,1.74,1.0,1.0,350.0,103,0.7446159247503977,-3.0541088096478993e-17,38.819003932945925,86.43528159998823,results\time_scan_N192\summary_N192_a1.74_T350_seed103.json,results\time_scan_N192\matrix_N192_a1.74_T350_seed103.csv
N192_a1.74_T400_seed101,192,1.74,1.0,1.0,400.0,101,0.17275206019116532,-5.759255418028562e-16,22.20000109714666,96.6966870999895,results\time_scan_N192\summary_N192_a1.74_T400_seed101.json,results\time_scan_N192\matrix_N192_a1.74_T400_seed101.csv
N192_a1.74_T400_seed102,192,1.74,1.0,1.0,400.0,102,0.19615747325121052,-5.293218741691311e-16,25.88490444241269,96.91387009993196,results\time_scan_N192\summary_N192_a1.74_T400_seed102.json,results\time_scan_N192\matrix_N192_a1.74_T400_seed102.csv
N192_a1.74_T400_seed103,192,1.74,1.0,1.0,400.0,103,0.2388431418635868,-6.180032782198463e-16,25.65327958176567,91.6738759999862,results\time_scan_N192\summary_N192_a1.74_T400_seed103.json,results\time_scan_N192\matrix_N192_a1.74_T400_seed103.csv
N192_a1.80_T250_seed101,192,1.8,1.0,1.0,250.0,101,2.801289261448358e-06,0.7962625965187481,76.70949174477654,57.12467310007196,results\time_scan_N192\summary_N192_a1.80_T250_seed101.json,results\time_scan_N192\matrix_N192_a1.80_T250_seed101.csv
N192_a1.80_T250_seed102,192,1.8,1.0,1.0,250.0,102,2.9670628896777842e-06,0.7951046179071132,76.70435803917027,59.74499229993671,results\time_scan_N192\summary_N192_a1.80_T250_seed102.json,results\time_scan_N192\matrix_N192_a1.80_T250_seed102.csv
N192_a1.80_T250_seed103,192,1.8,1.0,1.0,250.0,103,2.9407794260315825e-06,0.7948807039316893,76.7052031565402,61.09635959996376,results\time_scan_N192\summary_N192_a1.80_T250_seed103.json,results\time_scan_N192\matrix_N192_a1.80_T250_seed103.csv
N192_a1.80_T300_seed101,192,1.8,1.0,1.0,300.0,101,1.2432758841729273e-05,0.7715036955489291,76.43179646629761,71.28151060000528,results\time_scan_N192\summary_N192_a1.80_T300_seed101.json,results\time_scan_N192\matrix_N192_a1.80_T300_seed101.csv
N192_a1.80_T300_seed102,192,1.8,1.0,1.0,300.0,102,3.124578837290713e-05,0.7333979140925243,76.00488114813425,76.25269480003044,results\time_scan_N192\summary_N192_a1.80_T300_seed102.json,results\time_scan_N192\matrix_N192_a1.80_T300_seed102.csv
N192_a1.80_T300_seed103,192,1.8,1.0,1.0,300.0,103,4.245707189908437e-05,0.7166113853849555,75.78989637894188,74.89725390006788,results\time_scan_N192\summary_N192_a1.80_T300_seed103.json,results\time_scan_N192\matrix_N192_a1.80_T300_seed103.csv
N192_a1.80_T350_seed101,192,1.8,1.0,1.0,350.0,101,0.8153991403684739,-3.0299433841041227e-16,35.321183317460026,84.97879429999739,results\time_scan_N192\summary_N192_a1.80_T350_seed101.json,results\time_scan_N192\matrix_N192_a1.80_T350_seed101.csv
N192_a1.80_T350_seed102,192,1.8,1.0,1.0,350.0,102,0.7830008429503474,-3.2829642720436677e-16,35.390015676797056,84.35553280008025,results\time_scan_N192\summary_N192_a1.80_T350_seed102.json,results\time_scan_N192\matrix_N192_a1.80_T350_seed102.csv
N192_a1.80_T350_seed103,192,1.8,1.0,1.0,350.0,103,0.7387873280855707,-3.7383608027258713e-16,32.5567414521498,82.98293349996675,results\time_scan_N192\summary_N192_a1.80_T350_seed103.json,results\time_scan_N192\matrix_N192_a1.80_T350_seed103.csv
N192_a1.80_T400_seed101,192,1.8,1.0,1.0,400.0,101,0.18515680019770756,-4.934936345002918e-16,26.3999999990169,93.554171100026,results\time_scan_N192\summary_N192_a1.80_T400_seed101.json,results\time_scan_N192\matrix_N192_a1.80_T400_seed101.csv
N192_a1.80_T400_seed102,192,1.8,1.0,1.0,400.0,102,0.20940177048459124,-4.650053447557068e-16,27.97125958045976,92.09181770007126,results\time_scan_N192\summary_N192_a1.80_T400_seed102.json,results\time_scan_N192\matrix_N192_a1.80_T400_seed102.csv
N192_a1.80_T400_seed103,192,1.8,1.0,1.0,400.0,103,0.20892042518746773,-6.70202783330705e-16,26.401546248658907,92.31104999990202,results\time_scan_N192\summary_N192_a1.80_T400_seed103.json,results\time_scan_N192\matrix_N192_a1.80_T400_seed103.csv
