label,N,alpha,beta,gamma,T,seed,chi_hhi_star,lambda2,total_weight,runtime_seconds,summary_path,matrix_path
N256_a1.74_T370_seed101,256,1.74,1.0,1.0,370.0,101,0.009171230997244924,0.03364975644844808,60.24820615894745,99.16380020021461,results\time_scan_N256_alpha174_refined\summary_N256_a1.74_T370_seed101.json,results\time_scan_N256_alpha174_refined\matrix_N256_a1.74_T370_seed101.csv
N256_a1.74_T370_seed102,256,1.74,1.0,1.0,370.0,102,1.2373780049487807e-05,0.7117943341746902,94.09032875587081,98.97293970012106,results\time_scan_N256_alpha174_refined\summary_N256_a1.74_T370_seed102.json,results\time_scan_N256_alpha174_refined\matrix_N256_a1.74_T370_seed102.csv
N256_a1.74_T370_seed103,256,1.74,1.0,1.0,370.0,103,4.200765318469831e-05,0.6505924918337722,93.03509593699704,99.00660089985467,results\time_scan_N256_alpha174_refined\summary_N256_a1.74_T370_seed103.json,results\time_scan_N256_alpha174_refined\matrix_N256_a1.74_T370_seed103.csv
N256_a1.74_T380_seed101,256,1.74,1.0,1.0,380.0,101,0.26037937454580706,7.179754416476116e-07,61.7394320271513,100.52794659999199,results\time_scan_N256_alpha174_refined\summary_N256_a1.74_T380_seed101.json,results\time_scan_N256_alpha174_refined\matrix_N256_a1.74_T380_seed101.csv
N256_a1.74_T380_seed102,256,1.74,1.0,1.0,380.0,102,3.6752562205768684e-05,0.6691561695979249,93.10804906807485,104.2971626999788,results\time_scan_N256_alpha174_refined\summary_N256_a1.74_T380_seed102.json,results\time_scan_N256_alpha174_refined\matrix_N256_a1.74_T380_seed102.csv
N256_a1.74_T380_seed103,256,1.74,1.0,1.0,380.0,103,0.008292497172460795,0.059982790543866495,61.85725783907469,106.10023230011575,results\time_scan_N256_alpha174_refined\summary_N256_a1.74_T380_seed103.json,results\time_scan_N256_alpha174_refined\matrix_N256_a1.74_T380_seed103.csv
N256_a1.74_T390_seed101,256,1.74,1.0,1.0,390.0,101,0.6923617744116595,7.403946068280029e-14,72.54065701022859,106.2596275000833,results\time_scan_N256_alpha174_refined\summary_N256_a1.74_T390_seed101.json,results\time_scan_N256_alpha174_refined\matrix_N256_a1.74_T390_seed101.csv
N256_a1.74_T390_seed102,256,1.74,1.0,1.0,390.0,102,0.002910899202573384,0.14298051469166925,70.30958622662595,108.97797959996387,results\time_scan_N256_alpha174_refined\summary_N256_a1.74_T390_seed102.json,results\time_scan_N256_alpha174_refined\matrix_N256_a1.74_T390_seed102.csv
N256_a1.74_T390_seed103,256,1.74,1.0,1.0,390.0,103,0.2941905627353836,1.8110702375698401e-07,54.7573968274946,107.35149739985354,results\time_scan_N256_alpha174_refined\summary_N256_a1.74_T390_seed103.json,results\time_scan_N256_alpha174_refined\matrix_N256_a1.74_T390_seed103.csv
N256_a1.74_T400_seed101,256,1.74,1.0,1.0,400.0,101,0.7840784779170751,-1.0782677048490238e-16,44.27367388201699,109.52053519990295,results\time_scan_N256_alpha174_refined\summary_N256_a1.74_T400_seed101.json,results\time_scan_N256_alpha174_refined\matrix_N256_a1.74_T400_seed101.csv
