label,N,alpha,beta,gamma,T,seed,chi_hhi_star,lambda2,total_weight,runtime_seconds,summary_path,matrix_path
N256_a1.80_T370_seed101,256,1.8,1.0,1.0,370.0,101,0.4460521919704557,9.86350452334216e-09,77.34793036427902,101.66135040018708,results\time_scan_N256_peak_refined\summary_N256_a1.80_T370_seed101.json,results\time_scan_N256_peak_refined\matrix_N256_a1.80_T370_seed101.csv
N256_a1.80_T370_seed102,256,1.8,1.0,1.0,370.0,102,6.703943875056295e-05,0.6832641809256609,99.69096954325242,99.66840690001845,results\time_scan_N256_peak_refined\summary_N256_a1.80_T370_seed102.json,results\time_scan_N256_peak_refined\matrix_N256_a1.80_T370_seed102.csv
N256_a1.80_T370_seed103,256,1.8,1.0,1.0,370.0,103,0.02579804144896966,0.006975458364151474,60.53009874706972,101.43039950006641,results\time_scan_N256_peak_refined\summary_N256_a1.80_T370_seed103.json,results\time_scan_N256_peak_refined\matrix_N256_a1.80_T370_seed103.csv
N256_a1.80_T380_seed101,256,1.8,1.0,1.0,380.0,101,0.7412782325432619,3.0557575216377664e-16,63.376186041931355,104.31035219994374,results\time_scan_N256_peak_refined\summary_N256_a1.80_T380_seed101.json,results\time_scan_N256_peak_refined\matrix_N256_a1.80_T380_seed101.csv
N256_a1.80_T380_seed102,256,1.8,1.0,1.0,380.0,102,0.013761575003730094,0.01598113251526643,60.66761931359997,105.27958960016258,results\time_scan_N256_peak_refined\summary_N256_a1.80_T380_seed102.json,results\time_scan_N256_peak_refined\matrix_N256_a1.80_T380_seed102.csv
N256_a1.80_T380_seed103,256,1.8,1.0,1.0,380.0,103,0.505984384454782,1.2065151814596532e-09,75.79036325002559,102.63823910010979,results\time_scan_N256_peak_refined\summary_N256_a1.80_T380_seed103.json,results\time_scan_N256_peak_refined\matrix_N256_a1.80_T380_seed103.csv
N256_a1.80_T390_seed101,256,1.8,1.0,1.0,390.0,101,0.8009204578389739,-2.513051660963841e-16,43.4172860269533,106.06604310008697,results\time_scan_N256_peak_refined\summary_N256_a1.80_T390_seed101.json,results\time_scan_N256_peak_refined\matrix_N256_a1.80_T390_seed101.csv
N256_a1.80_T390_seed102,256,1.8,1.0,1.0,390.0,102,0.49180929746799895,8.728388102511342e-08,68.76269200426717,106.34651029994711,results\time_scan_N256_peak_refined\summary_N256_a1.80_T390_seed102.json,results\time_scan_N256_peak_refined\matrix_N256_a1.80_T390_seed102.csv
N256_a1.80_T390_seed103,256,1.8,1.0,1.0,390.0,103,0.7204779227335426,2.0849656165261214e-16,67.41539240672027,106.5476935999468,results\time_scan_N256_peak_refined\summary_N256_a1.80_T390_seed103.json,results\time_scan_N256_peak_refined\matrix_N256_a1.80_T390_seed103.csv
N256_a1.80_T410_seed101,256,1.8,1.0,1.0,410.0,101,0.3555532509394286,-3.694442078614763e-16,39.94800504676488,112.06324420007877,results\time_scan_N256_peak_refined\summary_N256_a1.80_T410_seed101.json,results\time_scan_N256_peak_refined\matrix_N256_a1.80_T410_seed101.csv
N256_a1.80_T410_seed102,256,1.8,1.0,1.0,410.0,102,0.7308333533020657,-3.089622109144183e-16,56.84576263019818,110.87207439984195,results\time_scan_N256_peak_refined\summary_N256_a1.80_T410_seed102.json,results\time_scan_N256_peak_refined\matrix_N256_a1.80_T410_seed102.csv
N256_a1.80_T410_seed103,256,1.8,1.0,1.0,410.0,103,0.708739222132398,-3.415429529078564e-16,41.142696858562296,111.07271900004707,results\time_scan_N256_peak_refined\summary_N256_a1.80_T410_seed103.json,results\time_scan_N256_peak_refined\matrix_N256_a1.80_T410_seed103.csv
N256_a1.80_T420_seed101,256,1.8,1.0,1.0,420.0,101,0.22069333603886399,-6.11642209895322e-16,38.40010403325431,115.41021799994633,results\time_scan_N256_peak_refined\summary_N256_a1.80_T420_seed101.json,results\time_scan_N256_peak_refined\matrix_N256_a1.80_T420_seed101.csv
N256_a1.80_T420_seed102,256,1.8,1.0,1.0,420.0,102,0.6584698712580009,-5.733088119886481e-16,54.39748705426188,113.58213460003026,results\time_scan_N256_peak_refined\summary_N256_a1.80_T420_seed102.json,results\time_scan_N256_peak_refined\matrix_N256_a1.80_T420_seed102.csv
N256_a1.80_T420_seed103,256,1.8,1.0,1.0,420.0,103,0.3549959458582752,-4.654825991597557e-16,37.48361867611254,111.59316250006668,results\time_scan_N256_peak_refined\summary_N256_a1.80_T420_seed103.json,results\time_scan_N256_peak_refined\matrix_N256_a1.80_T420_seed103.csv
N256_a1.80_T430_seed101,256,1.8,1.0,1.0,430.0,101,0.19997437562013218,-4.889626491563296e-16,38.40000000381782,116.09213829995133,results\time_scan_N256_peak_refined\summary_N256_a1.80_T430_seed101.json,results\time_scan_N256_peak_refined\matrix_N256_a1.80_T430_seed101.csv
N256_a1.80_T430_seed102,256,1.8,1.0,1.0,430.0,102,0.3307595626004677,-5.033441591986902e-16,54.3939340509135,115.85166150005534,results\time_scan_N256_peak_refined\summary_N256_a1.80_T430_seed102.json,results\time_scan_N256_peak_refined\matrix_N256_a1.80_T430_seed102.csv
N256_a1.80_T430_seed103,256,1.8,1.0,1.0,430.0,103,0.2631889948260405,-5.192934435561811e-16,37.580522094939305,113.79053639993072,results\time_scan_N256_peak_refined\summary_N256_a1.80_T430_seed103.json,results\time_scan_N256_peak_refined\matrix_N256_a1.80_T430_seed103.csv
