label,N,alpha,beta,gamma,T,seed,chi_hhi_star,lambda2,total_weight,runtime_seconds,summary_path,matrix_path
N256_a1.80_T320_seed101,256,1.8,1.0,1.0,320.0,101,4.475129828850695e-06,0.7869707247516022,102.14916935363934,104.1512034998741,results\time_scan_N256_refined\summary_N256_a1.80_T320_seed101.json,results\time_scan_N256_refined\matrix_N256_a1.80_T320_seed101.csv
N256_a1.80_T320_seed102,256,1.8,1.0,1.0,320.0,102,3.273837999478921e-06,0.7932029205626517,102.21321383323851,91.11233169981278,results\time_scan_N256_refined\summary_N256_a1.80_T320_seed102.json,results\time_scan_N256_refined\matrix_N256_a1.80_T320_seed102.csv
N256_a1.80_T320_seed103,256,1.8,1.0,1.0,320.0,103,3.3903032137709788e-06,0.7907978641397694,102.20758229014977,90.04995770007372,results\time_scan_N256_refined\summary_N256_a1.80_T320_seed103.json,results\time_scan_N256_refined\matrix_N256_a1.80_T320_seed103.csv
N256_a1.80_T360_seed101,256,1.8,1.0,1.0,360.0,101,0.02487023185008115,0.005680861406706599,60.038975810901476,102.17785330000333,results\time_scan_N256_refined\summary_N256_a1.80_T360_seed101.json,results\time_scan_N256_refined\matrix_N256_a1.80_T360_seed101.csv
N256_a1.80_T360_seed102,256,1.8,1.0,1.0,360.0,102,1.4878013858351331e-05,0.7642123078055425,101.62830005320083,102.29243229981512,results\time_scan_N256_refined\summary_N256_a1.80_T360_seed102.json,results\time_scan_N256_refined\matrix_N256_a1.80_T360_seed102.csv
N256_a1.80_T360_seed103,256,1.8,1.0,1.0,360.0,103,8.656631844447336e-05,0.6495251851819611,99.34610662928003,101.94137789984234,results\time_scan_N256_refined\summary_N256_a1.80_T360_seed103.json,results\time_scan_N256_refined\matrix_N256_a1.80_T360_seed103.csv
N256_a1.80_T400_seed101,256,1.8,1.0,1.0,400.0,101,0.7337799795853983,-3.400358949441546e-16,39.94808805582541,114.10604059998877,results\time_scan_N256_refined\summary_N256_a1.80_T400_seed101.json,results\time_scan_N256_refined\matrix_N256_a1.80_T400_seed101.csv
N256_a1.80_T400_seed102,256,1.8,1.0,1.0,400.0,102,0.6969371417264294,1.098630806129183e-14,67.01204416740995,115.68577509978786,results\time_scan_N256_refined\summary_N256_a1.80_T400_seed102.json,results\time_scan_N256_refined\matrix_N256_a1.80_T400_seed102.csv
N256_a1.80_T400_seed103,256,1.8,1.0,1.0,400.0,103,0.7639879611881251,-2.2049885958452741e-16,48.08513824284401,113.53901399997994,results\time_scan_N256_refined\summary_N256_a1.80_T400_seed103.json,results\time_scan_N256_refined\matrix_N256_a1.80_T400_seed103.csv
N256_a1.80_T440_seed101,256,1.8,1.0,1.0,440.0,101,0.18444830415301722,-8.076533612989616e-16,38.39999999945351,125.6386349000968,results\time_scan_N256_refined\summary_N256_a1.80_T440_seed101.json,results\time_scan_N256_refined\matrix_N256_a1.80_T440_seed101.csv
N256_a1.80_T440_seed102,256,1.8,1.0,1.0,440.0,102,0.26026434584760183,-5.793577116779376e-16,54.353090133082965,124.8668657001108,results\time_scan_N256_refined\summary_N256_a1.80_T440_seed102.json,results\time_scan_N256_refined\matrix_N256_a1.80_T440_seed102.csv
N256_a1.80_T440_seed103,256,1.8,1.0,1.0,440.0,103,0.1984511625169315,-5.594243137772577e-16,37.304269436549994,123.59851790009998,results\time_scan_N256_refined\summary_N256_a1.80_T440_seed103.json,results\time_scan_N256_refined\matrix_N256_a1.80_T440_seed103.csv
N256_a1.80_T480_seed101,256,1.8,1.0,1.0,480.0,101,0.18430118110189161,-5.751655263403891e-16,38.39999999945999,132.73712019994855,results\time_scan_N256_refined\summary_N256_a1.80_T480_seed101.json,results\time_scan_N256_refined\matrix_N256_a1.80_T480_seed101.csv
N256_a1.80_T480_seed102,256,1.8,1.0,1.0,480.0,102,0.25537733328922085,-7.873487654322217e-16,52.79999999925791,129.91881880001165,results\time_scan_N256_refined\summary_N256_a1.80_T480_seed102.json,results\time_scan_N256_refined\matrix_N256_a1.80_T480_seed102.csv
N256_a1.80_T480_seed103,256,1.8,1.0,1.0,480.0,103,0.17253629651421884,-4.896711284268697e-16,35.9999999994896,128.41741940006614,results\time_scan_N256_refined\summary_N256_a1.80_T480_seed103.json,results\time_scan_N256_refined\matrix_N256_a1.80_T480_seed103.csv
N256_a1.80_T560_seed101,256,1.8,1.0,1.0,560.0,101,0.18430118110189164,-6.867507673401716e-16,38.39999999945994,150.28897450002842,results\time_scan_N256_refined\summary_N256_a1.80_T560_seed101.json,results\time_scan_N256_refined\matrix_N256_a1.80_T560_seed101.csv
N256_a1.80_T560_seed102,256,1.8,1.0,1.0,560.0,102,0.2548905019678569,-7.483567372274816e-16,52.7999999992574,154.63813199987635,results\time_scan_N256_refined\summary_N256_a1.80_T560_seed102.json,results\time_scan_N256_refined\matrix_N256_a1.80_T560_seed102.csv
N256_a1.80_T560_seed103,256,1.8,1.0,1.0,560.0,103,0.1725362942908974,-8.082867557027417e-16,35.999999999493674,154.5374076999724,results\time_scan_N256_refined\summary_N256_a1.80_T560_seed103.json,results\time_scan_N256_refined\matrix_N256_a1.80_T560_seed103.csv
